Gene name,Function
SH2D3C,EC capillary marker
ADGRL4,EC capillary marker
X3CL1,EC capillary marker
VWF,EC capillary marker
BP4,EC capillary marker
DYSF,EC capillary marker
TM4SF18,EC capillary marker
ITM2A,EC capillary marker
LIC5,EC capillary marker
DH5,EC capillary marker
XORF36,EC capillary marker
TNFSF10,EC capillary marker
IMAP6,EC capillary marker
ALNT18,EC capillary marker
HLA-DOA,EC capillary marker
XAF1,EC capillary marker
LEC14A,EC capillary marker
ITGA6,EC capillary marker
SGK1,EC capillary marker
ARHGEF15,EC capillary marker
IITA,EC capillary marker
PLVAP,EC capillary marker
TSPAN12,EC capillary marker
LAP3,EC capillary marker
IFI27,EC capillary marker
ASKIN2,EC capillary marker
ID1,EC capillary marker
FLT1,EC capillary marker
ACVRL1,EC capillary marker
APGEF4,EC capillary marker
MMRN2,EC capillary marker
OBO4,EC capillary marker
IMAP5,EC capillary marker
IL4R,EC capillary marker
AFMID,EC capillary marker
HLA-E,EC capillary marker
AQP1,EC capillary marker
SOX7,EC capillary marker
SEMA3F,EC capillary marker
OAS2,EC capillary marker
D93,EC capillary marker
LIMS2,EC capillary marker
LEC1A,EC capillary marker
HLA-DPB1,EC capillary marker
STXBP6,EC capillary marker
NOVA2,EC capillary marker
ARAP3,EC capillary marker
IMAP1,EC capillary marker
MYZAP,EC capillary marker
PRKCE,EC capillary marker
HLA-DPA1,EC capillary marker
IFIT3,EC capillary marker
EFNB1,EC capillary marker
APOL3,EC capillary marker
FAM107A,EC capillary marker
IMAP7,EC capillary marker
PODXL,EC capillary marker
HLA-DQB1,EC capillary marker
TEK,EC capillary marker
WARS,EC capillary marker
FRY,EC capillary marker
SPOCK2,EC capillary marker
TCIM,EC capillary marker
EGFL7,EC capillary marker
AMP3,EC capillary marker
ADGRL2,EC capillary marker
ICAM2,EC capillary marker
MEF2A,EC capillary marker
SLCO2A1,EC capillary marker
AV2,EC capillary marker
TN4,EC capillary marker
SYNE2,EC capillary marker
IL7R,EC capillary marker
ARHGAP29,EC capillary marker
TAP2,EC capillary marker
HLA-DRA,EC capillary marker
ATA2,EC capillary marker
IMAP8,EC capillary marker
PCDH17,EC capillary marker
IFI44L,EC capillary marker
SAMD9L,EC capillary marker
HHEX,EC capillary marker
BP1,EC capillary marker
NPDC1,EC capillary marker
SHANK3,EC capillary marker
NF144B,EC capillary marker
DX,EC capillary marker
NPR1,EC capillary marker
YYR1,EC capillary marker
KANK3,EC capillary marker
MAP3K6,EC capillary marker
SASH1,EC capillary marker
OCLN,EC capillary marker
HLA-DRB1,EC capillary marker
SPNS2,EC capillary marker
ARHGAP4,EC capillary marker
ASZ1,EC capillary marker
DOCK9,EC capillary marker
F8,EC capillary marker
LDN5,EC capillary marker
NG11,EC capillary marker
SHE,EC capillary marker
BTN3A1,EC capillary marker
ASRGL1,EC capillary marker
IMAP4,EC capillary marker
EFNB2,EC capillary marker
AV1,EC capillary marker
KCNMB4,EC capillary marker
IFIT1,EC capillary marker
ARHGAP18,EC capillary marker
SOX18,EC capillary marker
APGEF5,EC capillary marker
LMO2,EC capillary marker
HSPA12B,EC capillary marker
STK4,EC capillary marker
TM4SF1,EC capillary marker
NOSTRIN,EC capillary marker
SEMA6A,EC capillary marker
SERPINE1,EC capillary marker
PECAM1,EC capillary marker
MYO6,EC capillary marker
IFI44,EC capillary marker
TSPAN15,EC capillary marker
BCAM,EC capillary marker
MFSD6,EC capillary marker
USHBP1,EC capillary marker
ANXA3,EC capillary marker
IL3RA,EC capillary marker
FOXF1,EC capillary marker
SMAD6,EC capillary marker
THBD,EC capillary marker
ASIP1,EC capillary marker
SORBS2,EC capillary marker
PR146,EC capillary marker
TSPAN7,EC capillary marker
EPAS1,EC capillary marker
EXOC3L1,EC capillary marker
PDE1C,EC capillary marker
KDR,EC capillary marker
MAP3K11,EC capillary marker
HLA-DMB,EC capillary marker
IL32,EC capillary marker
HLA-DMA,EC capillary marker
IFI6,EC capillary marker
PCAT19,EC capillary marker
FAM84B,EC capillary marker
BST2,EC capillary marker
ETS1,EC capillary marker
TMEM255B,EC capillary marker
EDNRB,EC capillary marker
FGD5,EC capillary marker
AVIN2,EC capillary marker
LRRC32,EC capillary marker
D74,EC capillary marker
ETS2,EC capillary marker
TIE1,EC capillary marker
LAMA5,EC capillary marker
LEC3B,EC capillary marker
NMI,EC capillary marker
ISG15,EC capillary marker
NAI2,EC capillary marker
S1PR1,EC capillary marker
FLI1,EC capillary marker
HLA-DRB5,EC capillary marker
BMPR2,EC capillary marker
STOM,EC capillary marker
D36,EC capillary marker
EMIP2,EC capillary marker
